"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 -"
"NIFTY 50","24,189.85","24,382.60","24,131.00","24,055.60","24,187.35","131.75","0.55","17,07,58,926","16,921.40","25,078.30","18,837.85","-1.10","23.25"
"BRITANNIA","5,724.55","5,911.10","5,710.15","5,697.90","5,911.10","213.20","3.74","3,89,934","227.76","6,005.00","4,347.70","2.72","18.74"
"ADANIENT","3,084.00","3,142.80","3,063.05","3,038.20","3,127.00","88.80","2.92","14,06,434","438.22","3,743.90","2,142.00","-3.48","19.53"
"JSWSTEEL","867.05","893.05","867.05","863.80","888.50","24.70","2.86","14,81,236","131.15","959.40","723.00","-9.46","7.18"
"TECHM","1,465.50","1,503.00","1,465.50","1,456.35","1,489.65","33.30","2.29","10,71,049","159.42","1,569.00","1,098.15","-0.34","23.92"
"LT","3,548.00","3,634.90","3,546.00","3,528.00","3,607.50","79.50","2.25","12,75,359","459.94","3,919.90","2,615.25","-2.73","34.30"
"HINDUNILVR","2,720.10","2,771.75","2,708.65","2,715.90","2,764.75","48.85","1.80","13,55,648","372.87","2,811.30","2,172.05","6.63","6.67"
"LTIM","5,371.00","5,528.00","5,371.00","5,390.10","5,485.50","95.40","1.77","2,11,689","115.92","6,442.00","4,513.55","-0.58","9.09"
"GRASIM","2,627.00","2,679.40","2,623.00","2,612.25","2,647.75","45.50","1.75","4,88,933","129.88","2,877.75","1,758.05","-4.94","43.10"
"ADANIPORTS","1,524.90","1,539.75","1,512.05","1,493.85","1,519.40","25.55","1.71","19,46,851","296.82","1,621.40","754.50","-0.44","92.69"
"RELIANCE","2,910.30","2,955.00","2,910.30","2,894.65","2,942.75","48.10","1.66","26,86,842","789.70","3,217.60","2,220.30","-8.89","15.35"
"HCLTECH","1,563.00","1,605.00","1,563.00","1,562.40","1,587.50","25.10","1.61","13,36,572","213.28","1,697.35","1,125.00","2.83","36.53"
"CIPLA","1,513.00","1,542.35","1,505.70","1,515.05","1,535.85","20.80","1.37","8,65,293","132.58","1,600.00","1,132.00","0.34","25.24"
"WIPRO","489.75","499.35","486.60","485.00","491.65","6.65","1.37","37,62,366","186.20","579.90","375.05","-9.36","18.63"
